deviceId;device_brand;device_model;device_types;gestureCode;sensor_name;sensor_type;sensor_type_name;sensor_vendor;valeur-1;valeur-2;valeur-3;valeur-4;valeur-5;z_timestamp
d6c11b31b2c91d62;Google;Sdk_gwear_arm64;Wear OS;Swipe 001;Goldfish 3-axis Accelerometer;1.0;Accelerometer;The Android Open Source Project;0.812345;9.776321;0.0;;;1722377106376
d6c11b31b2c91d62;Google;Sdk_gwear_arm64;Wear OS;Swipe 001;GeoMag Rotation Vector Sensor;20.0;Geomagnetic Rotation Vector;AOSP;0.0;0.73580176;-3.3477167E-7;-3.0810807E-7;0.67719704;1722377106376
d6c11b31b2c91d62;Google;Sdk_gwear_arm64;Wear OS;Swipe 001;Goldfish 3-axis Accelerometer;1.0;Accelerometer;The Android Open Source Project;0.812345;9.776321;0.0;;;1722377111437
d6c11b31b2c91d62;Google;Sdk_gwear_arm64;Wear OS;Swipe 001;Goldfish 3-axis Gyroscope;4.0;Gyroscope;The Android Open Source Project;0.0;0.0;0.0;;;1722377111439
d6c11b31b2c91d62;Google;Sdk_gwear_arm64;Wear OS;Swipe 001;Goldfish 3-axis Accelerometer;1.0;Accelerometer;The Android Open Source Project;0.812345;9.776321;0.0;;;1722377111468
d6c11b31b2c91d62;Google;Sdk_gwear_arm64;Wear OS;Swipe 001;GeoMag Rotation Vector Sensor;20.0;Geomagnetic Rotation Vector;AOSP;0.0;0.7358015;0.0;0.0;0.6771973;1722377111468
d6c11b31b2c91d62;Google;Sdk_gwear_arm64;Wear OS;Swipe 001;Goldfish 3-axis Gyroscope;4.0;Gyroscope;The Android Open Source Project;0.0;0.0;0.0;;;1722377111468
d6c11b31b2c91d62;Google;Sdk_gwear_arm64;Wear OS;Swipe 001;Goldfish 3-axis Accelerometer;1.0;Accelerometer;The Android Open Source Project;0.812345;9.776321;0.0;;;1722377111477
d6c11b31b2c91d62;Google;Sdk_gwear_arm64;Wear OS;Swipe 001;GeoMag Rotation Vector Sensor;20.0;Geomagnetic Rotation Vector;AOSP;0.0;0.7358023;-1.2922189E-6;5.4577747E-8;0.6771965;1722377111477
d6c11b31b2c91d62;Google;Sdk_gwear_arm64;Wear OS;Swipe 001;Goldfish 3-axis Gyroscope;4.0;Gyroscope;The Android Open Source Project;0.0;0.0;0.0;;;1722377111478
d6c11b31b2c91d62;Google;Sdk_gwear_arm64;Wear OS;Swipe 001;Goldfish 3-axis Accelerometer;1.0;Accelerometer;The Android Open Source Project;0.812345;9.776321;0.0;;;1722377111497
d6c11b31b2c91d62;Google;Sdk_gwear_arm64;Wear OS;Swipe 001;GeoMag Rotation Vector Sensor;20.0;Geomagnetic Rotation Vector;AOSP;0.0;0.73580223;-9.800415E-7;6.567552E-8;0.67719656;1722377111497
d6c11b31b2c91d62;Google;Sdk_gwear_arm64;Wear OS;Swipe 001;Goldfish 3-axis Gyroscope;4.0;Gyroscope;The Android Open Source Project;0.0;0.0;0.0;;;1722377111498
d6c11b31b2c91d62;Google;Sdk_gwear_arm64;Wear OS;Swipe 001;Goldfish 3-axis Accelerometer;1.0;Accelerometer;The Android Open Source Project;0.812345;9.776321;0.0;;;1722377111517
d6c11b31b2c91d62;Google;Sdk_gwear_arm64;Wear OS;Swipe 001;GeoMag Rotation Vector Sensor;20.0;Geomagnetic Rotation Vector;AOSP;0.0;0.7358022;-8.0834184E-7;-4.016526E-8;0.6771966;1722377111518
d6c11b31b2c91d62;Google;Sdk_gwear_arm64;Wear OS;Swipe 001;Goldfish 3-axis Gyroscope;4.0;Gyroscope;The Android Open Source Project;0.0;0.0;0.0;;;1722377111518
d6c11b31b2c91d62;Google;Sdk_gwear_arm64;Wear OS;Swipe 001;Goldfish 3-axis Accelerometer;1.0;Accelerometer;The Android Open Source Project;0.812345;9.776321;0.0;;;1722377111537
d6c11b31b2c91d62;Google;Sdk_gwear_arm64;Wear OS;Swipe 001;GeoMag Rotation Vector Sensor;20.0;Geomagnetic Rotation Vector;AOSP;0.0;0.7358021;-7.049308E-7;-1.5508166E-7;0.6771967;1722377111537
d6c11b31b2c91d62;Google;Sdk_gwear_arm64;Wear OS;Swipe 001;Goldfish 3-axis Gyroscope;4.0;Gyroscope;The Android Open Source Project;0.0;0.0;0.0;;;1722377111538
d6c11b31b2c91d62;Google;Sdk_gwear_arm64;Wear OS;Swipe 001;Goldfish 3-axis Accelerometer;1.0;Accelerometer;The Android Open Source Project;0.812345;9.776321;0.0;;;1722377111558
d6c11b31b2c91d62;Google;Sdk_gwear_arm64;Wear OS;Swipe 001;GeoMag Rotation Vector Sensor;20.0;Geomagnetic Rotation Vector;AOSP;0.0;0.73580205;-6.3876615E-7;-2.4772638E-7;0.67719674;1722377111558
d6c11b31b2c91d62;Google;Sdk_gwear_arm64;Wear OS;Swipe 001;Goldfish 3-axis Gyroscope;4.0;Gyroscope;The Android Open Source Project;0.0;0.0;0.0;;;1722377111558
d6c11b31b2c91d62;Google;Sdk_gwear_arm64;Wear OS;Swipe 001;Goldfish 3-axis Accelerometer;1.0;Accelerometer;The Android Open Source Project;0.812345;9.776321;0.0;;;1722377111577
d6c11b31b2c91d62;Google;Sdk_gwear_arm64;Wear OS;Swipe 001;GeoMag Rotation Vector Sensor;20.0;Geomagnetic Rotation Vector;AOSP;0.0;0.735802;-5.9523177E-7;-3.1544755E-7;0.6771968;1722377111578
d6c11b31b2c91d62;Google;Sdk_gwear_arm64;Wear OS;Swipe 001;Goldfish 3-axis Gyroscope;4.0;Gyroscope;The Android Open Source Project;0.0;0.0;0.0;;;1722377111579
d6c11b31b2c91d62;Google;Sdk_gwear_arm64;Wear OS;Swipe 001;Goldfish 3-axis Accelerometer;1.0;Accelerometer;The Android Open Source Project;0.812345;9.776321;0.0;;;1722377111597
d6c11b31b2c91d62;Google;Sdk_gwear_arm64;Wear OS;Swipe 001;GeoMag Rotation Vector Sensor;20.0;Geomagnetic Rotation Vector;AOSP;0.0;0.73580194;-5.661786E-7;-3.6297615E-7;0.67719686;1722377111597
d6c11b31b2c91d62;Google;Sdk_gwear_arm64;Wear OS;Swipe 001;Goldfish 3-axis Gyroscope;4.0;Gyroscope;The Android Open Source Project;0.0;0.0;0.0;;;1722377111598
d6c11b31b2c91d62;Google;Sdk_gwear_arm64;Wear OS;Swipe 001;Goldfish 3-axis Accelerometer;1.0;Accelerometer;The Android Open Source Project;0.812345;9.776321;0.0;;;1722377111617
d6c11b31b2c91d62;Google;Sdk_gwear_arm64;Wear OS;Swipe 001;GeoMag Rotation Vector Sensor;20.0;Geomagnetic Rotation Vector;AOSP;0.0;0.7358019;-5.4664207E-7;-3.9572694E-7;0.6771969;1722377111618
